REF,MHZA,MHZB,MGA,MGB,TEMP,HUMD
980,827,890,0.17980,0.33261,24.5,47.0
930,765,859,0.18210,0.33548,25.0,41.5
880,744,846,0.18267,0.33720,25.5,40.0
860,740,846,0.18325,0.33778,25.5,40.0
870,796,879,0.18325,0.33835,25.5,39.5
950,850,946,0.18153,0.33605,25.0,40.5
960,859,962,0.18440,0.33892,25.0,40.0
930,852,954,0.18440,0.33950,25.0,40.0
890,852,938,0.18440,0.34007,25.0,40.0
890,855,953,0.18497,0.34065,25.0,40.0
880,852,952,0.18555,0.34122,25.0,40.0
870,838,949,0.18555,0.34180,24.5,40.0
860,842,946,0.18612,0.34237,24.5,40.0
870,842,949,0.18670,0.34295,24.5,40.0
860,845,951,0.18727,0.34409,24.5,40.0
840,848,940,0.18784,0.34467,24.5,40.0
870,843,934,0.18727,0.34467,24.5,40.0
850,836,937,0.18784,0.34524,24.5,40.0
820,834,931,0.18842,0.34582,24.5,40.0
850,835,935,0.18842,0.34582,24.5,40.0
830,831,908,0.18957,0.34639,24.5,40.0
810,821,902,0.18957,0.34697,24.5,40.0
830,825,914,0.18957,0.34697,24.5,40.0
800,826,903,0.19014,0.34697,24.5,40.0
830,820,898,0.19014,0.34697,24.5,40.0
820,820,893,0.19014,0.34754,24.5,40.0
820,814,890,0.19014,0.34697,24.0,40.0
830,816,896,0.19072,0.34754,24.0,40.0
820,814,895,0.19072,0.34754,24.0,40.0
790,783,856,0.19646,0.35156,24.0,40.0
790,786,827,0.19531,0.35041,24.0,40.0
800,793,854,0.19301,0.34926,24.0,40.0
820,787,852,0.19187,0.34926,24.0,40.0
780,807,841,0.19072,0.34869,24.0,40.0
790,789,844,0.19072,0.34869,24.0,40.0
790,782,809,0.19129,0.34926,24.0,40.0
760,772,807,0.19187,0.34926,24.0,40.0
750,770,804,0.19129,0.34926,24.0,40.0
760,766,779,0.19187,0.34984,24.0,40.0
770,758,790,0.19187,0.34984,24.0,40.0
750,757,772,0.19187,0.35041,24.0,40.0
760,751,794,0.19129,0.35041,24.0,40.0
740,746,765,0.19129,0.35099,24.0,40.0
750,728,776,0.19187,0.35099,24.0,40.0
730,739,762,0.19244,0.35099,24.0,40.0
700,718,754,0.19244,0.35156,24.0,40.0
720,713,755,0.19244,0.35156,24.0,40.0
730,711,742,0.19301,0.35156,24.0,40.0
680,709,736,0.19244,0.35214,24.0,40.0
720,701,747,0.19244,0.35214,24.0,40.0
700,699,741,0.19301,0.35271,24.0,39.5
690,696,742,0.19244,0.35271,24.0,39.5
680,693,717,0.19244,0.35271,24.0,39.5
700,685,714,0.19244,0.35329,24.0,39.5
680,681,704,0.19301,0.35329,24.0,39.5
680,667,715,0.19244,0.35329,24.0,39.5
660,675,711,0.19301,0.35386,24.0,39.0
660,664,713,0.19301,0.35386,24.0,39.5
690,656,712,0.19301,0.35443,24.0,39.5
670,644,697,0.19359,0.35443,24.0,39.0
670,646,693,0.19359,0.35443,24.0,39.0
650,645,658,0.19416,0.35501,24.0,39.0
680,637,679,0.19359,0.35443,24.0,39.0
640,635,691,0.19359,0.35501,24.0,39.0
670,633,695,0.19301,0.35501,24.0,39.0
